url,type,template,phase,status,note
/,home,T1,2,new,"Brand promise, service entry grid, trust strip, 107+ internal links"
/services/,services-hub,T1,2,new,Single services hub — never two
/services/window-cleaning/,service-spoke,T2,2,new,Window Cleaning
/services/gutter-cleaning/,service-spoke,T2,2,new,Gutter Cleaning
/services/roof-cleaning/,service-spoke,T2,2,new,Roof Cleaning & Debris Removal
/services/metal-roof-soft-washing/,service-spoke,T2,2,new,Metal Roof Soft Washing
/services/moss-removal/,service-spoke,T2,2,new,Moss Removal
/services/pressure-washing/,service-spoke,T2,2,new,Pressure Washing
/services/house-washing/,service-spoke,T2,2,new,House Washing (Soft Wash)
/services/solar-panel-cleaning/,service-spoke,T2,2,new,Solar Panel Cleaning
/services/commercial-window-cleaning/,service-spoke,T2,2,new,Commercial Window Cleaning
/our-guarantee/,trust,T8,2,new,Defined-term guarantee. Every 'risk-free' string links here.
/financing/,financing,T2,2,new,"BNPL per service, live calculator"
/about/,trust,T1,2,migrate,
/reviews/,trust,T1,2,migrate,
/contact/,trust,T1,2,migrate,
/prepare-for-your-upcoming-service/,trust,T8,2,migrate,
/referral-program/,trust,T2,2,migrate,
/awards/,trust,T1,2,migrate,
/careers/,trust,T1,2,migrate,
/gallery/,proof,T1,2,migrate,
/team/{expert-slug}/,person-entity,T2,1,new,"Named credentialed operator, hasCredential = WA registration"
/locations/,geo-hub,T4,3,new,Real geo hub. /service-area/ 301s here.
/locations/bellingham/,city,T4,3,migrate,"Bellingham, Whatcom County — Tier 1"
/locations/bellingham/gutter-cleaning/,city-service,T4,3,migrate,Bellingham x gutter-cleaning
/locations/bellingham/house-washing/,city-service,T4,3,new,Bellingham x house-washing
/locations/bellingham/moss-removal/,city-service,T4,3,migrate,Bellingham x moss-removal
/locations/bellingham/pressure-washing/,city-service,T4,3,migrate,Bellingham x pressure-washing
/locations/bellingham/roof-cleaning/,city-service,T4,3,migrate,Bellingham x roof-cleaning
/locations/bellingham/solar-panel-cleaning/,city-service,T4,3,migrate,Bellingham x solar-panel-cleaning
