Country,Clicks,Impressions,CTR,Position
United States,900,34489,2.61%,25
Canada,3,784,0.38%,13.94
Philippines,3,139,2.16%,33.91
India,2,446,0.45%,51.57
Israel,2,15,13.33%,35.87
United Kingdom,1,1063,0.09%,33.86
Germany,1,171,0.58%,31.18
Mexico,1,114,0.88%,39.66
Iceland,1,86,1.16%,85.5
Australia,1,55,1.82%,41.38
Japan,1,44,2.27%,40.7
Bangladesh,1,40,2.5%,30.2
Nigeria,1,14,7.14%,18.57
Belgium,1,13,7.69%,15.23
Finland,1,9,11.11%,21.78
Brazil,0,1559,0%,47.63
South Korea,0,527,0%,48.31
Russia,0,479,0%,48.77
Italy,0,222,0%,37.61
Ukraine,0,166,0%,41.27
Pakistan,0,157,0%,17.9
Vietnam,0,144,0%,45.21
Argentina,0,121,0%,46.26
France,0,112,0%,36.07
Spain,0,102,0%,32.09
Taiwan,0,85,0%,48.79
Ecuador,0,72,0%,45.51
Turkey,0,65,0%,42.91
Colombia,0,61,0%,43.51
Malaysia,0,59,0%,42.05
Indonesia,0,58,0%,42.91
South Africa,0,53,0%,45.7
Netherlands,0,50,0%,45.06
Lithuania,0,50,0%,45.2
Morocco,0,48,0%,46.52
Egypt,0,44,0%,47.02
Poland,0,42,0%,49.9
Venezuela,0,40,0%,41.55
Ireland,0,38,0%,36.39
Saudi Arabia,0,32,0%,33.5
Thailand,0,32,0%,48.03
Sweden,0,29,0%,35.55
Portugal,0,27,0%,15.85
Peru,0,27,0%,45.78
Switzerland,0,26,0%,29.31
Hungary,0,25,0%,10.96
Algeria,0,23,0%,35.09
Iraq,0,23,0%,36.22
Bulgaria,0,22,0%,33.18
Chile,0,21,0%,39.52
Iran,0,20,0%,44.15
Unknown Region,0,19,0%,55.32
Romania,0,17,0%,31.82
Dominican Republic,0,17,0%,37
Greece,0,16,0%,39.06
Uruguay,0,16,0%,48.31
Tunisia,0,16,0%,53
Trinidad & Tobago,0,16,0%,55.81
Bahamas,0,15,0%,20.13
Czechia,0,15,0%,21.2
Nepal,0,15,0%,44.93
Paraguay,0,15,0%,45.6
Moldova,0,15,0%,50.93
Nicaragua,0,14,0%,9
Austria,0,14,0%,29.14
Serbia,0,14,0%,38.64
Norway,0,13,0%,38.46
Uzbekistan,0,13,0%,48.08
Denmark,0,13,0%,49.38
Mongolia,0,12,0%,12.92
Kenya,0,12,0%,44.08
Cyprus,0,12,0%,49.33
Costa Rica,0,11,0%,23.82
Jamaica,0,11,0%,30.91
New Zealand,0,11,0%,43.09
Singapore,0,10,0%,13.4
United Arab Emirates,0,10,0%,29.4
Slovakia,0,9,0%,14.44
Cambodia,0,9,0%,17.78
Guatemala,0,9,0%,24.11
Honduras,0,9,0%,25.11
Georgia,0,9,0%,41.89
Jordan,0,9,0%,51.78
Kazakhstan,0,9,0%,65.22
Latvia,0,8,0%,40.88
Slovenia,0,7,0%,21.43
Belize,0,7,0%,35
Kuwait,0,7,0%,35.57
Macedonia,0,6,0%,10.33
Lebanon,0,6,0%,10.5
Bosnia & Herzegovina,0,6,0%,30.83
Albania,0,6,0%,33.33
Qatar,0,6,0%,58.5
Barbados,0,6,0%,69.83
El Salvador,0,5,0%,16.6
Ghana,0,5,0%,23.6
China,0,5,0%,27.6
Hong Kong,0,5,0%,28.6
Gabon,0,5,0%,42.2
Belarus,0,5,0%,52.6
Haiti,0,4,0%,6.75
Panama,0,4,0%,12.75
Oman,0,4,0%,37.75
Croatia,0,4,0%,40.5
Senegal,0,4,0%,41.25
Puerto Rico,0,4,0%,43.75
Côte d’Ivoire,0,4,0%,45.25
Bahrain,0,4,0%,53.25
Ethiopia,0,4,0%,58
Madagascar,0,3,0%,15
Laos,0,3,0%,31.67
Bolivia,0,3,0%,35
Seychelles,0,3,0%,35.33
Palestine,0,3,0%,38.33
Suriname,0,3,0%,38.67
Libya,0,3,0%,40
Myanmar (Burma),0,3,0%,52.67
Zimbabwe,0,2,0%,20.5
Armenia,0,2,0%,31
Azerbaijan,0,2,0%,31.5
Malta,0,2,0%,33.5
Maldives,0,2,0%,37
Congo - Kinshasa,0,2,0%,43.5
Guyana,0,2,0%,45.5
Botswana,0,2,0%,80.5
Bhutan,0,1,0%,1
Curaçao,0,1,0%,1
Djibouti,0,1,0%,1
Guernsey,0,1,0%,1
Guadeloupe,0,1,0%,1
Greenland,0,1,0%,1
U.S. Virgin Islands,0,1,0%,1
Vanuatu,0,1,0%,1
Syria,0,1,0%,2
Timor-Leste,0,1,0%,5
Papua New Guinea,0,1,0%,7
Mozambique,0,1,0%,10
Angola,0,1,0%,31
Uganda,0,1,0%,33
Guam,0,1,0%,46
Burkina Faso,0,1,0%,47
Cape Verde,0,1,0%,52
Montenegro,0,1,0%,52
Luxembourg,0,1,0%,55
Estonia,0,1,0%,61
St. Kitts & Nevis,0,1,0%,70
Jersey,0,1,0%,77
Brunei,0,1,0%,86
